Date,FHKCX,Nikkei,Hang,BSE,VWO,IXIC,MSCI,NYA,CWI
2014-01-06,33.18,15908.879883,22684.150391,20787.300781,39.27,4113.680176,145.74,10270.049805,23.18
2014-01-07,33.349998,15814.370117,22712.779297,20693.240234,39.43,4153.180176,145.51,10327.330078,23.293333
2014-01-08,33.779999,16121.450195,22996.589844,20729.380859,39.360001,4165.609863,146.82,10320.910156,23.280001
2014-01-09,33.349998,15880.330078,22787.330078,20713.369141,39.110001,4156.189941,145.46,10325.740234,23.246666
2014-01-10,33.27,15912.05957,22846.25,20758.490234,39.869999,4174.669922,145.85,10371.129883,23.486666
2014-01-14,33.619999,15422.400391,22791.279297,21032.880859,39.810001,4183.02002,145.78,10343.080078,23.5
2014-01-15,33.779999,15808.730469,22902,21289.490234,39.799999,4214.879883,146.54,10385.389648,23.573334
2014-01-16,33.889999,15747.200195,22986.410156,21265.179688,39.580002,4218.689941,146.87,10376.230469,23.526667
2014-01-17,34.130001,15734.459961,23133.349609,21063.619141,39.439999,4197.580078,147.49,10343.459961,23.5
2014-01-21,33.889999,15795.959961,23033.119141,21251.119141,39.32,4225.759766,146.86,10366.009766,23.620001
2014-01-22,34.009998,15820.959961,23082.25,21337.669922,39.82,4243,147.45,10368.889648,23.626667
2014-01-23,33.419998,15695.889648,22733.900391,21373.660156,38.91,4218.879883,145.71,10269.389648,23.413334
2014-01-24,32.419998,15391.55957,22450.060547,21133.560547,37.959999,4128.169922,144.28,10034.44043,22.82
2014-01-27,32.049999,15005.730469,21976.099609,20707.449219,37.709999,4083.610107,141.04,9981.349609,22.693333
2014-01-28,32.419998,14980.160156,21960.640625,20683.509766,37.959999,4097.959961,141.13,10066.839844,22.846666
2014-01-29,32.52,15383.910156,22141.609375,20647.300781,37.290001,4051.429932,142.21,9962.919922,22.6
2014-01-30,32.68,15007.05957,22035.419922,20498.25,37.68,4123.129883,141.74,10048.69043,22.74
2014-02-04,31.719999,14008.469727,21397.769531,20211.929688,37.52,4031.52002,138.8,9816.969727,22.233334
2014-02-05,31.33,14180.379883,21269.380859,20261.029297,37.389999,4011.550049,136.98,9809.030273,22.26
2014-02-06,32.16,14155.120117,21423.130859,20310.740234,38.130001,4057.120117,138.16,9940.219727,22.646667
2014-02-07,32.549999,14462.410156,21636.849609,20376.560547,38.279999,4125.859863,139.85,10055.339844,22.886667
2014-02-10,32.509998,14718.339844,21579.259766,20334.269531,37.849998,4148.169922,139.72,10050.400391,22.833334
2014-02-12,33.16,14800.05957,22285.789063,20448.490234,38.59,4201.290039,143.51,10173.769531,23.226667
2014-02-13,33,14534.740234,22165.529297,20193.349609,38.630001,4240.669922,142.62,10228.580078,23.286667
2014-02-14,33.099998,14313.030273,22298.410156,20366.820313,39.099998,4244.02002,143.56,10282.530273,23.446667
2014-02-18,33.41,14843.240234,22587.720703,20634.210938,38.77,4272.779785,144.76,10319.120117,23.559999
2014-02-19,33.43,14766.530273,22664.519531,20722.970703,38.599998,4237.950195,144.94,10254.240234,23.413334
2014-02-20,33.290001,14449.179688,22394.080078,20536.640625,38.799999,4267.549805,143.53,10316.889648,23.526667
2014-02-21,33.25,14865.669922,22568.240234,20700.75,39.07,4263.410156,144.36,10306.900391,23.546667
2014-02-24,32.880001,14837.679688,22388.560547,20811.439453,39.029999,4292.970215,142.91,10369.519531,23.753334
2014-02-25,32.810001,15051.599609,22317.199219,20852.470703,38.540001,4287.589844,142.91,10353.780273,23.633333
2014-02-26,33.16,14970.969727,22437.439453,20986.990234,38.439999,4292.060059,143.87,10349.959961,23.553333
2014-02-28,33.849998,14841.070313,22836.960938,21120.119141,38.889999,4308.120117,145.73,10425.860352,23.753334
2014-03-03,33.560001,14652.230469,22500.669922,20946.650391,38.209999,4277.299805,144.31,10329.790039,23.273333
2014-03-04,33.959999,14721.480469,22657.630859,21209.730469,38.84,4351.970215,144.49,10489.969727,23.706667
2014-03-05,33.990002,14897.629883,22579.779297,21276.859375,38.959999,4357.970215,144.46,10482.839844,23.706667
2014-03-06,34.349998,15134.75,22702.970703,21513.869141,39.5,4352.129883,145.64,10525.519531,23.926666
2014-03-07,34.200001,15274.070313,22660.490234,21919.789063,38.950001,4336.220215,145.62,10511.910156,23.766666
2014-03-10,33.66,15120.139648,22264.929688,21934.830078,38.720001,4334.450195,143.43,10486.150391,23.633333
2014-03-11,33.75,15224.110352,22269.609375,21826.419922,38.27,4307.189941,143.76,10425.639648,23.453333
2014-03-12,33.349998,14830.389648,21901.949219,21856.220703,38.419998,4323.330078,142.03,10418.990234,23.379999
2014-03-13,32.709999,14815.980469,21756.080078,21774.609375,37.759998,4260.419922,141.87,10297.740234,23.026667
2014-03-14,32.549999,14327.660156,21539.490234,21809.800781,38.009998,4245.399902,140.38,10285.080078,23.006666
2014-03-18,32.900002,14411.269531,21583.5,21832.609375,39.009998,4333.310059,141.06,10441.450195,23.413334
2014-03-19,32.790001,14462.519531,21568.689453,21832.859375,38.240002,4307.600098,140.79,10359.509766,23.133333
2014-03-20,32.209999,14224.230469,21182.160156,21740.089844,38.419998,4319.290039,138.33,10400.700195,23.066668
2014-03-24,32.439999,14475.299805,21846.449219,22055.480469,38.990002,4226.390137,141.55,10362.05957,23.146667
2014-03-25,32.119999,14423.19043,21732.320313,22055.210938,39.490002,4234.27002,141.36,10417.05957,23.4
2014-03-26,32.310001,14477.160156,21887.75,22095.300781,39.5,4173.580078,142.44,10359.360352,23.406666
2014-03-27,31.790001,14622.889648,21834.449219,22214.369141,39.959999,4151.22998,142.35,10373.44043,23.533333
2014-03-28,32.240002,14696.030273,22065.529297,22339.970703,40.279999,4155.759766,143.75,10434.870117,23.746666
2014-03-31,32.619999,14827.830078,22151.060547,22386.269531,40.580002,4198.990234,144.83,10527.769531,23.873333
2014-04-01,33.34,14791.990234,22448.539063,22446.439453,40.970001,4268.040039,146.51,10584.30957,24.026667
2014-04-02,33.5,14946.320313,22523.939453,22551.490234,41.119999,4276.459961,147.14,10616.870117,24.066668
2014-04-03,33.290001,15071.879883,22565.080078,22509.070313,40.880001,4237.740234,147.26,10598.480469,24.006666
2014-04-04,32.639999,15063.769531,22510.080078,22359.5,40.810001,4127.72998,146.91,10517.049805,23.946667
2014-04-07,32.369999,14808.849609,22377.150391,22343.449219,41.029999,4079.75,146.49,10407.419922,23.873333
2014-04-09,33.220001,14299.69043,22843.169922,22702.339844,41.740002,4183.899902,148.98,10554.94043,24.24
2014-04-10,32.889999,14300.120117,23186.960938,22715.330078,41.34,4054.110107,150.81,10366.80957,23.879999
2014-04-11,32.66,13960.049805,23003.640625,22628.960938,41.32,3999.72998,149.65,10280.94043,23.726667
2014-04-15,32.48,13996.80957,22671.259766,22484.929688,40.650002,4034.159912,147.96,10401.980469,23.719999
2014-04-16,32.639999,14417.679688,22696.009766,22277.230469,41.07,4086.22998,147.84,10505.790039,23.966667
2014-04-17,32.849998,14417.530273,22760.240234,22628.839844,41.560001,4095.52002,148.31,10532.830078,24.113333
2014-04-22,33.049999,14388.769531,22730.679688,22758.369141,41.150002,4161.459961,148.15,10599.019531,24.193333
2014-04-23,32.860001,14546.269531,22509.640625,22876.539063,40.93,4126.970215,147.17,10581.889648,24.126667
2014-04-25,32.259998,14429.259766,22223.529297,22688.070313,40.459999,4075.560059,145.2,10505.009766,23.986666
2014-04-28,31.84,14288.230469,22132.529297,22631.609375,40.580002,4074.399902,144.78,10526.519531,24.093334
2014-04-30,31.389999,14304.110352,22133.970703,22417.800781,40.939999,4114.560059,144.6,10627.169922,24.313334
2014-05-02,31.809999,14457.509766,22260.669922,22403.890625,41.240002,4123.899902,145.74,10629.990234,24.386667
2014-05-07,31.1,14033.450195,21746.259766,22323.900391,41.48,4067.669922,143.79,10626.839844,24.4
2014-05-08,30.77,14163.780273,21837.119141,22344.039063,41.369999,4051.5,144.07,10610.650391,24.4
2014-05-09,30.84,14199.589844,21862.990234,22994.230469,41.34,4071.870117,143.91,10606.69043,24.393333
2014-05-12,31.450001,14149.519531,22261.609375,23551,42.009998,4143.859863,145.1,10703.5,24.566668
2014-05-13,31.5,14425.44043,22352.380859,23871.230469,42.189999,4130.169922,145.78,10702.860352,24.606667
2014-05-14,31.73,14405.759766,22582.769531,23815.119141,42.470001,4100.629883,147.31,10656.120117,24.586666
2014-05-15,31.639999,14298.209961,22730.859375,23905.599609,42.09,4069.290039,147.72,10568.370117,24.513334
2014-05-16,31.610001,14096.589844,22712.910156,24121.740234,42.610001,4090.590088,147.54,10603.179688,24.606667
2014-05-19,31.559999,14006.44043,22704.5,24363.050781,42.630001,4125.810059,147.37,10618.639648,24.566668
2014-05-20,31.709999,14075.25,22834.679688,24376.880859,42.27,4096.890137,147.59,10541.950195,24.393333
2014-05-21,31.99,14042.169922,22836.519531,24298.019531,42.57,4131.540039,147.86,10620.44043,24.566668
2014-05-22,32.209999,14337.790039,22953.759766,24374.400391,42.900002,4154.339844,149.35,10644.519531,24.626667
2014-05-23,32.360001,14462.169922,22965.859375,24693.349609,42.900002,4185.810059,149.79,10681.870117,24.713333
2014-05-27,32.439999,14636.519531,22944.300781,24549.509766,42.549999,4237.069824,149.72,10720.620117,24.766666
2014-05-28,32.599998,14670.950195,23080.029297,24556.089844,42.709999,4225.080078,150.75,10702.730469,24.700001
2014-05-29,32.380001,14681.719727,23010.140625,24234.150391,42.759998,4247.950195,150.24,10752.110352,24.84
2014-05-30,32.439999,14632.379883,23081.650391,24217.339844,42.209999,4242.620117,150.33,10756.30957,24.733334
2014-06-03,32.790001,15034.25,23291.039063,24858.589844,42.66,4234.080078,151.85,10770.330078,24.806667
2014-06-04,32.57,15067.959961,23151.710938,24805.830078,42.419998,4251.640137,151.08,10776.780273,24.76
2014-06-05,32.66,15079.370117,23109.660156,25019.509766,42.900002,4296.22998,151.21,10847.69043,24.92
2014-06-06,32.66,15077.240234,22951,25396.460938,43.360001,4321.399902,150.57,10904.219727,25.046667
2014-06-09,32.919998,15124,23117.470703,25580.210938,43.630001,4336.240234,151.39,10918.620117,25.066668
2014-06-10,33.209999,14994.799805,23315.740234,25583.689453,43.799999,4338,152.72,10914.200195,25.053333
2014-06-11,33.310001,15069.480469,23257.289063,25473.890625,43.650002,4331.930176,152.54,10872.69043,24.959999
2014-06-12,33.09,14973.530273,23175.019531,25576.210938,43.450001,4297.629883,152.01,10825.030273,24.953333
2014-06-13,33.369999,15097.839844,23319.169922,25228.169922,43.610001,4310.649902,152.57,10856.219727,24.926666
2014-06-16,33.43,14933.290039,23300.669922,25190.480469,43.330002,4321.100098,152.48,10863.219727,24.940001
2014-06-17,33.209999,14975.969727,23203.589844,25521.189453,43.360001,4337.22998,152.21,10886.009766,24.913334
2014-06-18,33.349998,15115.799805,23181.720703,25246.25,43.860001,4362.839844,152.13,10975.540039,25.146667
2014-06-19,33.18,15361.160156,23167.730469,25201.800781,43.59,4359.330078,152.2,11003.080078,25.233334
2014-06-20,33.130001,15349.419922,23194.060547,25105.509766,43.610001,4368.040039,152.07,11018.110352,24.746666
2014-06-23,32.82,15369.280273,22804.810547,25031.320313,43.41,4368.680176,150.36,11014.089844,24.766666
2014-06-24,32.880001,15376.240234,22880.640625,25368.900391,42.93,4350.350098,150.84,10921.990234,24.573334
2014-06-25,32.990002,15266.610352,22866.699219,25313.740234,43.110001,4379.759766,150.79,10962.870117,24.593334
2014-06-26,33.450001,15308.490234,23197.830078,25062.669922,43.09,4379.049805,152.92,10949.450195,24.673334
2014-06-27,33.560001,15095,23221.519531,25099.919922,43.200001,4397.930176,153.07,10974.429688,24.666666
2014-06-30,33.799999,15162.099609,23190.720703,25413.779297,43.130001,4408.180176,153.81,10979.419922,24.733334
2014-07-02,34.259998,15369.969727,23549.619141,25841.210938,43.779999,4457.72998,156.26,11050.339844,25.006666
2014-07-03,34.529999,15348.290039,23531.439453,25823.75,44.009998,4485.930176,156.75,11104.719727,25.093334
2014-07-07,34.630001,15379.44043,23540.919922,26100.080078,44.099998,4451.529785,157.03,11035.80957,24.906666
2014-07-08,34.470001,15314.410156,23541.380859,25582.109375,43.91,4391.459961,157.1,10963.160156,24.74
2014-07-09,34.18,15302.650391,23176.070313,25444.810547,44.169998,4419.029785,155.29,11005.5,24.833334
2014-07-10,34.380001,15216.469727,23238.990234,25372.75,43.900002,4396.200195,156.07,10941.339844,24.58
2014-07-11,34.369999,15164.040039,23233.449219,25024.349609,43.98,4415.490234,155.82,10936.349609,24.573334
2014-07-14,34.490002,15296.820313,23346.669922,25006.980469,44.32,4440.419922,156.26,10991.469727,24.733334
2014-07-15,34.57,15395.160156,23459.960938,25228.650391,44.259998,4416.390137,157.06,10965.629883,24.68
2014-07-16,34.41,15379.299805,23523.279297,25549.720703,44.400002,4425.970215,156.75,11017.870117,24.853333
2014-07-17,33.869999,15370.259766,23520.869141,25561.160156,43.549999,4363.450195,156.05,10890.44043,24.506666
2014-07-18,34.189999,15215.709961,23454.789063,25641.560547,44.23,4432.149902,155.72,10985.919922,24.786667
2014-07-22,34.709999,15343.280273,23782.109375,26025.800781,44.849998,4456.02002,157.81,11016.240234,24.833334
2014-07-23,34.919998,15328.55957,23971.869141,26147.330078,44.860001,4473.700195,158.97,11023.900391,24.9
2014-07-24,35.080002,15284.419922,24141.5,26271.849609,45.080002,4472.109863,159.93,11038.55957,24.959999
2014-07-25,35.07,15457.870117,24216.009766,26126.75,44.900002,4449.560059,159.55,10985.80957,24.84
2014-07-28,35.240002,15529.400391,24428.630859,25991.230469,45.139999,4444.910156,160.25,10987.240234,24.9
2014-07-30,35.169998,15646.230469,24732.210938,26087.419922,44.5,4462.899902,161.38,10929.790039,24.793333
2014-07-31,34.700001,15620.769531,24756.849609,25894.970703,43.720001,4369.77002,160.61,10726.429688,24.393333
2014-08-01,34.790001,15523.110352,24532.429688,25480.839844,43.98,4352.640137,159.16,10692.169922,24.286667
2014-08-04,35.16,15474.5,24600.080078,25723.160156,44.48,4383.890137,160.45,10766.679688,24.406666
2014-08-05,34.77,15320.30957,24648.259766,25908.009766,43.810001,4352.839844,159.16,10657.320313,24.113333
2014-08-06,34.84,15159.790039,24584.130859,25665.269531,43.5,4355.049805,159.25,10653.419922,24.093334
2014-08-07,34.450001,15232.370117,24387.560547,25589.009766,43.299999,4334.970215,158.36,10583.790039,23.886667
2014-08-08,34.830002,14778.370117,24331.410156,25329.140625,43.779999,4370.899902,157.88,10691.099609,23.993334
