"","Date","FIVFX","JFAMX","EEM","MOAT","GSPC","IXIC","EAFE","MSCIUSA","ASX200","CAC40","FGIRX","Hang","SP","N225"
"1",2015-01-05,15.99,21.360001,38.080002,30.26,2020.579956,4652.569824,1726.414,256.642,50.650002,"4111.359863",25.879999,"23721.320313","27842.320313","17408.710938"
"2",2015-01-06,15.81,21.23,37.919998,29.790001,2002.609985,4592.740234,1705.932,253.942,49.77,"4083.500000",25.540001,"23485.410156","26987.460938","16883.189453"
"3",2015-01-07,15.96,21.610001,38.740002,29.92,2025.900024,4650.470215,1697.01,253.305,49.630001,"4112.729980",25.799999,"23681.259766","26908.820313","16885.330078"
"4",2015-01-08,16.219999,22.129999,39.400002,30.389999,2062.139893,4736.189941,1733.84,258.561,49.77,"4260.189941",26.23,"23835.529297","27274.710938","17167.099609"
"5",2015-01-09,16.18,21.950001,39.27,29.99,2044.810059,4704.069824,1729.52,258.087,50.689999,"4179.069824",25.99,"23919.949219","27458.380859","17197.730469"
"6",2015-01-13,16.219999,21.940001,39.290001,29.219999,2023.030029,4661.5,1745.96,259.336,49.990002,"4290.279785",25.75,"24215.970703","27425.730469","17087.710938"
"7",2015-01-14,16.139999,21.9,39.07,29.08,2011.27002,4639.319824,1727.98,257.016,49.599998,"4223.240234",25.52,"24112.599609","27346.820313","16795.960938"
"8",2015-01-15,16.18,22.1,39.16,28.77,1992.670044,4570.819824,1744.968,259.053,49.389999,"4323.200195",25.299999,"24350.910156","28075.550781","17108.699219"
"9",2015-01-16,16.27,22.23,39.490002,29.190001,2019.420044,4634.379883,1741.902,258.842,49.080002,"4379.620117",25.530001,"24103.519531","28121.890625","16864.160156"
"10",2015-01-20,16.370001,22.32,39.43,29.190001,2022.550049,4654.850098,1767.6,261.364,49.240002,"4446.020020",25.530001,"23951.160156","28784.669922","17366.300781"
"11",2015-01-21,16.469999,22.629999,40.299999,29.51,2032.119995,4667.419922,1778.675,263.71,49.98,"4484.819824",25.690001,"24352.580078","28888.859375","17280.480469"
"12",2015-01-22,16.549999,23,41.07,29.860001,2063.149902,4750.399902,1780.108,264.505,50.200001,"4552.799805",26.139999,"24522.630859","29006.019531","17329.019531"
"13",2015-01-23,16.559999,22.98,40.759998,29.67,2051.820068,4757.879883,1787.711,265.654,51,"4640.689941",25.940001,"24850.449219","29278.839844","17511.750000"
