Date,FIVLX,MSCI_Val,CAC40,FTSE 100,NIKKEI,MSCI_Europe
2015-01-05,7.81,2736.766,4111.359863,6417.15860228,17408.710938,1545.22
2015-01-06,7.73,2705.95,4083.5,6366.51496086,16883.189453,1532.48
2015-01-07,7.78,2693.263,4112.72998,6419.8298745,16885.330078,1525.06
2015-01-08,7.93,2750.6,4260.189941,6569.95938054,17167.099609,1566.16
2015-01-09,7.88,2737.456,4179.069824,6501.14498344,17197.730469,1550.51
2015-01-13,7.92,2759.967,4290.279785,6542.19619521,17087.710938,1574.38
2015-01-14,7.89,2727.952,4223.240234,6388.45709191,16795.960938,1551.29
2015-01-15,7.94,2752.647,4323.200195,6498.7763804,17108.699219,1565.87
2015-01-16,8.02,2753.195,4379.620117,6550.26953164,16864.160156,1571.98
2015-01-20,8.07,2794.835,4446.02002,6620.09764672,17366.300781,1597.86
2015-01-21,8.13,2815.775,4484.819824,6728.04360762,17280.480469,1610.22
2015-01-22,8.17,2825.926,4552.799805,6796.63269837,17329.019531,1613.06
2015-01-23,8.14,2832.445,4640.689941,6832.83274216,17511.75,1617.65
2015-01-26,8.22,2839.49,4675.129883,6852.39789824,17468.519531,1627.57
2015-01-27,8.23,2862.841,4624.209961,6811.60540625,17768.300781,1632.21
2015-01-28,8.13,2852.554,4610.939941,6825.93570056,17795.730469,1625.18
2015-01-29,8.23,2832.83,4631.430176,6810.60250616,17606.220703,1622.62
2015-01-30,8.13,2817.527,4604.25,6749.40185911,17674.390625,1606.97
2015-02-02,8.22,2838.758,4627.669922,6782.55211115,17558.039063,1617.26
2015-02-03,8.33,2874.923,4677.899902,6871.79586451,17335.849609,1645.73
2015-02-04,8.3,2890.196,4696.299805,6860.01995572,17678.740234,1650.05
2015-02-05,8.37,2897.574,4703.299805,6865.93013981,17504.619141,1652.71
2015-02-06,8.29,2885.816,4691.029785,6853.44159113,17648.5,1643.85
2015-02-09,8.22,2875.105,4651.080078,6837.14681521,17711.929688,1631.07
2015-02-10,8.29,2877.31,4695.649902,6829.12341386,17652.679688,1638.91
2015-02-12,8.42,2898.274,4726.200195,6828.1108874,17979.720703,1652.95
2015-02-13,8.46,2931.005,4759.359863,6873.52115281,17913.359375,1667.63
2015-02-17,8.47,2934.19,4753.990234,6898.13059221,17987.089844,1667.42
2015-02-18,8.52,2955.14,4799.029785,6898.07866173,18199.169922,1676.15
2015-02-19,8.54,2964.958,4833.279785,6888.89803559,18264.789063,1684.36
2015-02-20,8.61,2967.252,4830.899902,6915.20498908,18332.300781,1684.96
2015-02-23,8.57,2972.582,4862.299805,6912.15529213,18466.919922,1694.88
2015-02-24,8.61,2985.664,4886.439941,6949.62924718,18603.480469,1701.72
2015-02-25,8.61,2992.083,4882.220215,6935.38293585,18585.199219,1702.69
2015-02-26,8.58,2981,4910.620117,6949.73431785,18785.789063,1698.12
2015-02-27,8.58,2988.759,4951.47998,6946.65628643,18797.939453,1705.44
2015-03-02,8.58,2975.573,4917.319824,6940.63897467,18826.880859,1698.16
2015-03-03,8.52,2962.821,4869.25,6889.12607874,18815.160156,1680.77
2015-03-04,8.5,2947.96,4917.350098,6919.23721081,18703.599609,1676.18
2015-03-05,8.52,2952.53,4963.509766,6961.13788355,18751.839844,1683.14
2015-03-06,8.41,2921.569,4964.350098,6911.79620972,18971,1658.86
2015-03-09,8.41,2907.139,4937.200195,6876.47413843,18790.550781,1652.57
2015-03-10,8.24,2854.185,4881.950195,6702.84445811,18665.109375,1615.86
2015-03-11,8.26,2853.768,4997.75,6721.51414445,18723.519531,1620
2015-03-12,8.36,2874.911,4987.330078,6761.0742958500005,18991.109375,1625.57
2015-03-13,8.3,2856.774,5010.459961,6740.581858,19254.25,1615.68
2015-03-16,8.43,2882.3,5061.160156,6804.07856897,19246.060547,1639.57
2015-03-17,8.41,2883.04,5028.930176,6837.61405262,19437,1632.57
2015-03-18,8.58,2905.416,5033.419922,6945.19549626,19544.480469,1644.36
2015-03-19,8.48,2914.281,5037.180176,6962.3178561,19476.560547,1650.24
2015-03-20,8.66,2976.731,5087.490234,7022.50502883,19560.220703,1690.7
2015-03-23,8.7,3001.642,5054.52002,7037.66732255,19754.359375,1699.87
2015-03-24,8.68,3003.074,5088.279785,7019.68177839,19713.449219,1701.34
2015-03-25,8.63,3007.459,5020.990234,6990.96990434,19746.199219,1694.85
2015-03-26,8.55,2968.873,5006.350098,6895.33112658,19471.119141,1670.31
2015-03-27,8.56,2952.67,5034.060059,6855.02138123,19285.630859,1670.22
