Date,FWWFX,MSCI_world,NASDAQ,SP_500,CWI,DJI,DOV,NYA,XAX,ROP
2014-01-02,24.389999,1645.22,4143.069824,1831.97998,23.280001,16441.349609,63.849468,10283.419922,2403.340088,138.080002
2014-01-03,24.41,1646.05,4131.910156,1831.369995,23.24,16469.990234,63.829361,10296.769531,2397.620117,138.229996
2014-01-06,24.41,1641.16,4113.680176,1826.77002,23.18,16425.099609,63.407047,10270.049805,2391.830078,137.660004
2014-01-07,24.58,1647.65,4153.180176,1837.880005,23.293333,16530.939453,63.521004,10327.330078,2396.840088,137.929993
2014-01-08,24.67,1650.17,4165.609863,1837.48999,23.280001,16462.740234,63.145618,10320.910156,2382,138.309998
2014-01-09,24.66,1646.37,4156.189941,1838.130005,23.246666,16444.759766,63.058472,10325.740234,2377.550049,139.539993
2014-01-10,24.860001,1655.11,4174.669922,1842.369995,23.486666,16437.050781,63.306496,10371.129883,2375.5,139.380005
2014-01-13,24.540001,1645.41,4113.299805,1819.199951,23.313334,16257.94043,62.441765,10256.150391,2340.429932,137.979996
2014-01-14,24.799999,1651.73,4183.02002,1838.880005,23.5,16373.860352,63.963425,10343.080078,2354.909912,139.649994
2014-01-15,24.889999,1660,4214.879883,1848.380005,23.573334,16481.939453,64.593544,10385.389648,2363.909912,140.570007
2014-01-16,24.870001,1659.34,4218.689941,1845.890015,23.526667,16417.009766,64.419258,10376.230469,2378.159912,140.860001
2014-01-17,24.9,1657.32,4197.580078,1838.699951,23.5,16458.560547,63.755623,10343.459961,2374.26001,140.039993
2014-01-21,25.030001,1659.49,4225.759766,1843.800049,23.620001,16414.439453,64.365631,10366.009766,2416.459961,141.919998
2014-01-22,25.129999,1661.74,4243,1844.859985,23.626667,16373.339844,64.278481,10368.889648,2424.030029,141.539993
2014-01-23,24.9,1650.45,4218.879883,1828.459961,23.413334,16197.349609,63.065178,10269.389648,2407.22998,139
2014-01-24,24.18,1618.36,4128.169922,1790.290039,22.82,15879.110352,60.551418,10034.44043,2354.070068,135.669998
2014-01-27,23.93,1604.92,4083.610107,1781.560059,22.693333,15837.879883,60.028557,9981.349609,2329.110107,135.410004
2014-01-28,24.309999,1611.35,4097.959961,1792.5,22.846666,15928.55957,60.658672,10066.839844,2334.350098,137.729996
2014-01-29,24.120001,1603.67,4051.429932,1774.199951,22.6,15738.790039,60.1157,9962.919922,2300.110107,136.179993
2014-01-30,24.360001,1607.46,4123.129883,1794.189941,22.74,15848.610352,59.840862,10048.69043,2294.830078,137.770004
2014-01-31,24.18,1598.46,4103.879883,1782.589966,22.453333,15698.849609,58.024254,9967.650391,2287.540039,137.240005
2014-02-03,23.65,1571.92,3996.959961,1741.890015,22.026667,15372.799805,55.611046,9741.580078,2260.120117,131.800003
2014-02-04,23.9,1569.93,4031.52002,1755.199951,22.233334,15445.240234,56.053467,9816.969727,2270.800049,131.990005
2014-02-05,23.860001,1572.37,4011.550049,1751.640015,22.26,15440.230469,55.490383,9809.030273,2258.080078,131.919998
2014-02-06,24.17,1592.69,4057.120117,1773.430054,22.646667,15628.530273,55.396538,9940.219727,2278.969971,132.770004
2014-02-07,24.57,1611.78,4125.859863,1797.02002,22.886667,15794.080078,57.273476,10055.339844,2299.340088,133.899994
2014-02-10,24.58,1616.78,4148.169922,1799.839966,22.833334,15801.790039,56.609844,10050.400391,2310.709961,133
2014-02-11,24.85,1634.47,4191.049805,1819.75,23.219999,15994.769531,56.81765,10170.370117,2340.189941,133.619995
2014-02-12,24.889999,1637.71,4201.290039,1819.26001,23.226667,15963.94043,57.233257,10173.769531,2356.379883,134.940002
2014-02-13,25.049999,1643.19,4240.669922,1829.829956,23.286667,16027.589844,57.17963,10228.580078,2398.870117,136.490005
2014-02-14,25.1,1650.12,4244.02002,1838.630005,23.446667,16154.389648,57.689083,10282.530273,2415.419922,136.869995
2014-02-18,25.32,1660.54,4272.779785,1840.76001,23.559999,16130.400391,58.386234,10319.120117,2452.860107,135.889999
2014-02-19,25.209999,1655.04,4237.950195,1828.75,23.413334,16040.55957,58.037659,10254.240234,2433.52002,135.050003
2014-02-20,25.27,1656.01,4267.549805,1839.780029,23.526667,16133.230469,59.37833,10316.889648,2456.429932,135.539993
2014-02-21,25.309999,1659.85,4263.410156,1836.25,23.546667,16103.299805,59.653168,10306.900391,2450.320068,134.919998
2014-02-24,25.52,1668.31,4292.970215,1847.609985,23.753334,16207.139648,59.97493,10369.519531,2475.679932,135.309998
2014-02-25,25.540001,1669.41,4287.589844,1845.119995,23.633333,16179.660156,60.330208,10353.780273,2470.050049,135.300003
2014-02-26,25.49,1664.85,4292.060059,1845.160034,23.553333,16198.410156,60.987137,10349.959961,2459.219971,134.979996
2014-02-27,25.620001,1668.4,4318.930176,1854.290039,23.693333,16272.650391,61.509998,10397.80957,2492.709961,134.610001
2014-02-28,25.559999,1675.4,4308.120117,1859.449951,23.753334,16321.709961,63.21265,10425.860352,2510.97998,135.619995
2014-03-03,25.1,1655.42,4277.299805,1845.72998,23.273333,16168.030273,63.893375,10329.790039,2509,134.690002
2014-03-04,25.610001,1677.85,4351.970215,1873.910034,23.706667,16395.880859,64.200325,10489.969727,2535.379883,136.320007
2014-03-05,25.610001,1679.06,4357.970215,1873.810059,23.706667,16360.179688,64.51535,10482.839844,2566.280029,137
2014-03-06,25.67,1686.11,4352.129883,1877.030029,23.926666,16421.890625,65.896606,10525.519531,2580.26001,138.660004
2014-03-07,25.540001,1681.17,4336.220215,1878.040039,23.766666,16452.720703,66.453957,10511.910156,2562.709961,139.5
2014-03-10,25.48,1676.53,4334.450195,1877.170044,23.633333,16418.679688,66.64782,10486.150391,2564.25,137.059998
2014-03-11,25.360001,1672.19,4307.189941,1867.630005,23.453333,16351.25,66.171242,10425.639648,2542.840088,134.229996
2014-03-12,25.34,1665.55,4323.330078,1868.199951,23.379999,16340.080078,65.678513,10418.990234,2513.540039,134.080002
2014-03-13,24.92,1651.68,4260.419922,1846.339966,23.026667,16108.889648,65.161552,10297.740234,2504.98999,133.929993
2014-03-14,24.809999,1641.13,4245.399902,1841.130005,23.006666,16065.669922,64.458801,10285.080078,2521.590088,134.070007
2014-03-17,25.030001,1653.94,4279.950195,1858.829956,23.246666,16247.219727,65.775444,10377.019531,2519.47998,136.630005
2014-03-18,25.23,1665.49,4333.310059,1872.25,23.413334,16336.19043,66.16317,10441.450195,2532.52002,136.940002
2014-03-19,25.059999,1658.05,4307.600098,1860.77002,23.133333,16222.169922,65.840065,10359.509766,2503.98999,135.350006
2014-03-20,25,1654.32,4319.290039,1872.01001,23.066668,16331.049805,65.807755,10400.700195,2505.959961,135.029999
2014-03-21,24.719999,1653.38,4276.790039,1866.52002,23.086666,16302.769531,65.201935,10392.219727,2506.699951,134.710007
2014-03-24,24.559999,1645.97,4226.390137,1857.439941,23.146667,16276.69043,65.323105,10362.05957,2498.949951,134.220001
2014-03-25,24.57,1655.69,4234.27002,1865.619995,23.4,16367.879883,65.654282,10417.05957,2518.300049,134.820007
2014-03-26,24.370001,1654.34,4173.580078,1852.560059,23.406666,16268.990234,65.274635,10359.360352,2501.090088,133.190002
2014-03-27,24.360001,1653.12,4151.22998,1849.040039,23.533333,16264.230469,65.056541,10373.44043,2520.02002,132.479996
2014-03-28,24.459999,1661.84,4155.759766,1857.619995,23.746666,16323.05957,65.420029,10434.870117,2551.830078,132.779999
2014-03-31,24.700001,1673.87,4198.990234,1872.339966,23.873333,16457.660156,66.033928,10527.769531,2563.310059,133.509995
2014-04-01,24.969999,1683.7,4268.040039,1885.52002,24.026667,16532.609375,66.833603,10584.30957,2573.27002,134.589996
2014-04-02,24.98,1687.46,4276.459961,1890.900024,24.066668,16573,68.780289,10616.870117,2572.419922,136.5
2014-04-03,24.82,1685.14,4237.740234,1888.77002,24.006666,16572.550781,68.974152,10598.480469,2561.25,136.869995
2014-04-04,24.440001,1676.25,4127.72998,1865.089966,23.946667,16412.710938,67.407104,10517.049805,2560.47998,134.990005
2014-04-07,24.120001,1659.29,4079.75,1845.040039,23.873333,16245.870117,66.276253,10407.419922,2538.25,132.809998
2014-04-08,24.129999,1663.77,4112.990234,1851.959961,23.953333,16256.139648,66.550888,10452.009766,2590.77002,133.429993
