"","Date","type","Holding_Period_Return"
"1",2014-11-13,"Composite",0.00447835370058614
"2",2014-11-13,"Fund",0.0291565201369361
"3",2014-11-13,"Benchmark",0
"4",2014-11-14,"Composite",0.00423363336345339
"5",2014-11-14,"Fund",0.0291565201369361
"6",2014-11-14,"Benchmark",-9.41885655081354e-05
"7",2014-11-17,"Composite",0.00335779831995398
"8",2014-11-17,"Fund",0.0278535077747646
"9",2014-11-17,"Benchmark",0.000282565696524628
"10",2014-11-18,"Composite",0.00430896082358601
"11",2014-11-18,"Fund",0.0278535077747646
"12",2014-11-18,"Benchmark",0.000188377131016271
"13",2014-11-19,"Composite",0.00351010483911085
"14",2014-11-19,"Fund",0.0265507930738977
"15",2014-11-19,"Benchmark",-9.41885655081354e-05
"16",2014-11-20,"Composite",0.0033440927599615
"17",2014-11-20,"Fund",0.0278535077747646
"18",2014-11-20,"Benchmark",-0.000188377131016271
"19",2014-11-21,"Composite",0.00547091808048616
"20",2014-11-21,"Fund",0.0291565201369361
"21",2014-11-21,"Benchmark",-0.000282565696524406
"22",2014-11-24,"Composite",0.00621268802604424
"23",2014-11-24,"Fund",0.0304587883458456
"24",2014-11-24,"Benchmark",-0.000470942827540677
"25",2014-11-25,"Composite",0.00771486063355531
"26",2014-11-25,"Fund",0.0317616518773647
"27",2014-11-25,"Benchmark",-0.000753508524065083
"28",2014-11-26,"Composite",0.00901320895872049
"29",2014-11-26,"Fund",0.0330643665782315
"30",2014-11-26,"Benchmark",-0.000847697089573218
"31",2014-11-28,"Composite",0.00792921571241512
"32",2014-11-28,"Fund",0.0367206892168919
"33",2014-11-28,"Benchmark",-0.000941885655081354
"34",2014-12-01,"Composite",0.00573493894938815
"35",2014-12-01,"Fund",0.0341090089277556
"36",2014-12-01,"Benchmark",0.00160120561363852
"37",2014-12-02,"Composite",0.00439671145114628
"38",2014-12-02,"Fund",0.031497923961229
"39",2014-12-02,"Benchmark",0.00160120561363852
"40",2014-12-03,"Composite",0.00424314813145177
"41",2014-12-03,"Fund",0.031497923961229
"42",2014-12-03,"Benchmark",0.00122445135160576
"43",2014-12-04,"Composite",0.00419252210441035
"44",2014-12-04,"Fund",0.0328031687831876
"45",2014-12-04,"Benchmark",0.00113026278609785
"46",2014-12-05,"Composite",0.0030233732052114
"47",2014-12-05,"Fund",0.030191786155356
"48",2014-12-05,"Benchmark",0.000941885655081354
"49",2014-12-08,"Composite",0.00232782414855626
"50",2014-12-08,"Fund",0.031497923961229
"51",2014-12-08,"Benchmark",0.000941885655081354
"52",2014-12-09,"Composite",-0.0010978374372238
"53",2014-12-09,"Fund",0.031497923961229
"54",2014-12-09,"Benchmark",0.00084769708957344
"55",2014-12-10,"Composite",-0.00177476252535491
"56",2014-12-10,"Fund",0.0328031687831876
"57",2014-12-10,"Benchmark",0.000470942827540899
"58",2014-12-11,"Composite",-0.00386353242928694
"59",2014-12-11,"Fund",0.031497923961229
"60",2014-12-11,"Benchmark",0.000376754262032764
