"","Weights","Fund_FCSTX"
"(Intercept)",0,"(Intercept)"
"LD20TRUU.Index",-0.145038968837112,"LD20TRUU"
"LBUSTRUU.Index.x",-0.957248361538598,"LBUSTRUU.x"
"LC07TRUU.Index",0.795964380221035,"LC07TRUU"
"LGNMTRUU.Index",0.136195447166939,"LGNMTRUU"
"GFSI.Index",-0.000638051479743534,"GFSI"
"LEGATRUU.Index",0.0632431605827577,"LEGATRUU"
"LBUSTRUU.Index.y",-0.191509948671378,"LBUSTRUU.y"
"LUATTRUU.Index",0.182590573891579,"LUATTRUU"
"BEIG1T.Index",0.00941915282122949,"BEIG1T"
"ASX.Index",-0.00506766745378478,"ASX"
"JPMTUS...Index",0.204905558181341,"JPMTUS.."
"FXJPEMCS.Index",-0.00236654187558606,"FXJPEMCS"
"MRIEM.Index",-0.000141741019863325,"MRIEM"
"LG30TRUU.Index",-0.0446578897345393,"LG30TRUU"
"SPUIGFOT.Index",0.0350826172688927,"SPUIGFOT"
