"","X","Weights","Fund_FMSFX"
"1","(Intercept)",0,"(Intercept)"
"2","LMBITR.Index",-0.0167172872432706,"LMBITR"
"3","LD20TRUU.Index",0.692690126161627,"LD20TRUU"
"4","LBUSTRUU.Index.x",-0.106510849334019,"LBUSTRUU.x"
"5","LC07TRUU.Index",-0.53037546338657,"LC07TRUU"
"6","LGNMTRUU.Index",0.69844243419754,"LGNMTRUU"
"7","GFSI.Index",0.000728926701329998,"GFSI"
"8","LEGATRUU.Index",-0.0152571696018597,"LEGATRUU"
"9","LBUSTRUU.Index.y",0.689965622182417,"LBUSTRUU.y"
"10","LUATTRUU.Index",0.0486274947238852,"LUATTRUU"
"11","BEIG1T.Index",0.00922013974457677,"BEIG1T"
"12","ASX.Index",0.00498548340763342,"ASX"
"13","JPMTUS...Index",0,"JPMTUS.."
"14","FXJPEMCS.Index",0.0093393214808799,"FXJPEMCS"
"15","MRIEM.Index",0.000622066411456889,"MRIEM"
"16","LG30TRUU.Index",0.0340621830805786,"LG30TRUU"
"17","SPUIGFOT.Index",0.089813710083355,"SPUIGFOT"
