Date,SPHIX,MLUHYCL(PI),LHMUN1Y(P),FMNDX,FBNDX,LBUSTRUU.Index.x,FCSTX,LMBITR.Index,LFRAMBS(P),FMSFX
1/5/15,9.25,79.95,106.17,10.04,7.69,104.145951,10.59,109.00009,105.617,11.31
1/6/15,9.24,79.763,106.16,10.04,7.69,103.922756,10.6,108.94823,105.717,11.32
1/7/15,9.21,79.599,106.2,10.04,7.7,104.035138,10.6,109.0554,105.711,11.32
1/8/15,9.19,79.412,106.19,10.04,7.71,104.360895,10.61,108.97555,105.769,11.32
1/9/15,9.17,79.202,106.16,10.04,7.68,104.529791,10.61,108.64078,105.671,11.31
1/13/15,9.16,79.116,106.15,10.04,7.69,104.591499,10.61,108.65342,105.77,11.32
1/14/15,9.19,79.361,106.14,10.04,7.73,104.626156,10.62,108.65589,105.857,11.33
1/15/15,9.2,79.395,106.12,10.04,7.74,104.956544,10.63,108.5457,105.902,11.33
1/16/15,9.2,79.453,106.09,10.04,7.72,104.988838,10.64,108.49144,105.991,11.34
1/20/15,9.21,79.472,106.08,10.04,7.72,104.863233,10.63,108.57691,105.99,11.34
1/21/15,9.19,79.472,106.08,10.04,7.73,104.891473,10.64,108.71633,105.99,11.36
1/22/15,9.14,79.274,106.07,10.04,7.74,104.835117,10.64,108.80301,106.051,11.36
1/23/15,9.12,78.712,106.34,10.04,7.74,104.488379,10.64,108.98879,106.173,11.34
1/27/15,9.12,78.518,106.34,10.04,7.72,104.431041,10.65,109.18976,105.934,11.34
1/28/15,9.11,78.519,106.3,10.04,7.75,104.642148,10.66,109.51549,105.905,11.34
1/29/15,8.99,78.515,106.29,10.04,7.75,104.653762,10.67,109.52557,105.983,11.32
1/30/15,8.95,78.413,106.27,10.04,7.74,104.757808,10.68,109.41889,105.794,11.33
2/2/15,8.89,78.169,106.27,10.04,7.75,104.699026,10.67,109.54061,105.932,11.34
2/3/15,8.85,77.683,106.26,10.04,7.76,104.590419,10.67,109.70267,105.97,11.35
2/4/15,8.82,77.359,106.22,10.04,7.76,104.835243,10.67,109.8086,106.065,11.35
2/5/15,8.76,77.153,106.21,10.04,7.77,105.124056,10.67,110.08246,106.02,11.37
2/6/15,8.71,76.667,106.2,10.04,7.79,105.148964,10.67,110.21321,106.215,11.35
2/9/15,8.65,76.255,106.21,10.04,7.78,105.152206,10.68,110.22875,105.988,11.37
2/10/15,8.71,75.779,106.21,10.04,7.77,105.21545,10.67,110.25279,106.113,11.34
2/12/15,8.83,76.253,106.16,10.04,7.77,105.262965,10.68,110.1196,105.969,11.34
2/13/15,8.87,77.158,106.07,10.04,7.78,105.114652,10.68,110.00788,105.924,11.34
2/18/15,8.88,77.386,106.04,10.04,7.79,104.960466,10.68,110.09629,105.977,11.34
2/23/15,8.9,77.549,106.02,10.04,7.77,105.129519,10.68,110.11495,105.951,11.31
2/24/15,8.9,77.641,105.98,10.04,7.76,105.509961,10.68,110.214,105.718,11.32
2/25/15,8.9,77.656,105.97,10.04,7.78,105.640985,10.68,110.33599,105.711,11.32
2/26/15,8.9,77.656,105.97,10.04,7.78,105.529653,10.68,110.34602,105.711,11.33
2/27/15,8.9,77.655,105.98,10.04,7.79,105.441993,10.69,110.48109,105.782,11.34
3/2/15,8.9,77.684,105.95,10.04,7.78,105.584048,10.69,110.50182,105.876,11.35
3/3/15,8.9,77.675,105.93,10.04,7.78,105.452357,10.69,110.2463,105.908,11.37
3/4/15,8.87,77.675,105.93,10.04,7.78,105.35768,10.69,110.09597,105.978,11.39
3/5/15,8.83,77.675,105.93,10.04,7.78,105.421256,10.69,110.05913,105.978,11.41
3/9/15,8.86,77.662,106.2,10.04,7.8,105.519674,10.69,109.70561,106.23,11.39
3/10/15,8.88,77.41,106.2,10.04,7.81,105.907584,10.7,109.6332,106.439,11.38
3/11/15,8.89,77.128,106.19,10.04,7.82,105.8,10.71,109.36885,106.617,11.39
3/12/15,8.89,77.34,106.16,10.04,7.82,105.749008,10.71,109.23567,106.421,11.39
3/13/15,8.89,77.639,106.16,10.04,7.83,105.457186,10.72,109.1909,106.34,11.39
3/16/15,8.86,77.722,106.16,10.04,7.81,105.172571,10.72,109.14538,106.401,11.42
3/17/15,8.87,77.647,106.15,10.04,7.81,105.12643,10.71,109.00162,106.433,11.43
3/18/15,8.86,77.647,106.15,10.04,7.8,105.252584,10.71,109.06123,106.471,11.4
3/19/15,8.86,77.423,106.11,10.05,7.78,105.174022,10.7,109.04699,106.581,11.39
3/20/15,8.86,77.484,106.1,10.05,7.78,105.083383,10.69,109.04302,106.689,11.39
3/23/15,8.88,77.402,106.1,10.05,7.78,104.958819,10.69,109.04634,106.425,11.39
3/24/15,8.89,77.402,106.1,10.05,7.79,104.951965,10.7,109.06556,106.425,11.4
3/25/15,8.89,77.409,106.12,10.05,7.81,105.211751,10.7,109.09538,106.326,11.39
3/26/15,8.88,77.398,106.1,10.05,7.81,105.105738,10.7,109.12215,106.252,11.4
3/27/15,8.9,77.521,106.09,10.05,7.79,105.140805,10.71,109.09936,106.334,11.41
3/30/15,8.89,77.615,106.08,10.05,7.8,104.850653,10.7,109.01738,106.46,11.41
3/31/15,8.89,77.653,106.07,10.05,7.77,105.031137,10.69,108.85332,106.312,11.43
4/1/15,8.88,77.639,106.06,10.05,7.77,105.061569,10.67,108.81853,106.35,11.43
4/8/15,8.91,77.789,106.04,10.05,7.78,105.048041,10.66,108.79914,106.505,11.42
4/9/15,8.92,77.782,106.04,10.05,7.78,105.044665,10.65,108.4344,106.458,11.42
4/10/15,8.94,77.781,106.03,10.05,7.78,105.188981,10.65,108.42575,106.65,11.42
4/13/15,8.96,77.778,106.17,10.06,7.8,105.318581,10.65,108.45052,106.789,11.39
4/15/15,8.95,77.997,106.16,10.06,7.8,105.486692,10.65,108.46416,106.622,11.39
4/16/15,8.96,78.084,106.12,10.06,7.79,105.437119,10.66,108.62267,106.548,11.38
4/17/15,8.95,78.239,106.1,10.05,7.79,105.512765,10.65,108.63649,106.625,11.37
4/20/15,8.96,78.439,106.09,10.06,7.79,105.336425,10.65,108.68001,106.377,11.39
4/21/15,8.97,78.404,106.08,10.06,7.77,105.024481,10.65,108.80284,106.405,11.38
4/22/15,8.98,78.42,106.07,10.06,7.78,104.889738,10.65,109.01,106.261,11.35
4/23/15,8.99,78.407,106.02,10.06,7.8,104.973052,10.66,109.31357,106.245,11.37
4/24/15,8.99,78.477,106.01,10.06,7.82,105.188,10.67,109.36124,106.353,11.36
4/27/15,8.99,78.529,105.99,10.06,7.82,105.272506,10.67,109.35336,106.318,11.35
